,,,,,Children under 6 years with elevated blood lead levels (BLL) : Summarize
Topic: Health Behavior and Population
Subtopic: Childhood Lead Exposure
Indicator Name: Children under 6 years with elevated blood lead levels (BLL)
Indicator Description: There is no safe level of lead in the blood. Lead poisoning can cause learning and behavior problems and delay growth and mental development.
Notes: *Estimate is based on small numbers so should be interpreted with caution.

Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number BLL >=10 µg/dL,Number BLL >=15 µg/dL,Number BLL >=5 µg/dL,Number Tested,"Rate BLL >=10 µg/dL (per 1,000 tested)","Rate BLL >=15 µg/dL (per 1,000 tested)","Rate BLL >=5 µg/dL (per 1,000 tested)",Notes Number BLL >=10 µg/dL,Notes Number BLL >=15 µg/dL,Notes Number BLL >=5 µg/dL,Notes Number Tested,Notes Rate BLL >=10 µg/dL,Notes Rate BLL >=15 µg/dL,Notes Rate BLL >=5 µg/dL,
2011,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Children under 6 years with elevated blood lead levels (BLL),7,2,61,"3,400",2.1,0.6,18.1,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2012,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Children under 6 years with elevated blood lead levels (BLL),5,3,33,"3,400",1.5,0.9,9.8,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2013,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Children under 6 years with elevated blood lead levels (BLL),4,0,30,"3,300",1.2,0.0,9.0,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2014,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Children under 6 years with elevated blood lead levels (BLL),4,2,33,"3,200",1.2,0.6,10.2,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2015,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Children under 6 years with elevated blood lead levels (BLL),10,4,26,"2,800",3.6,1.5,9.5,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2016,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Children under 6 years with elevated blood lead levels (BLL),5,1,23,"2,500",2.0,0.4,9.0,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2017,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Children under 6 years with elevated blood lead levels (BLL),3,1,16,"2,500",1.2,0.4,6.3,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2018,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Children under 6 years with elevated blood lead levels (BLL),6,4,18,"2,600",2.3,1.5,6.9,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2019,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Children under 6 years with elevated blood lead levels (BLL),4,3,21,"2,600",1.5,1.1,8.0,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2005,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Children under 6 years with elevated blood lead levels (BLL),60,30,754,"7,000",8.6,4.3,108.2,,,,,,,,
2006,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Children under 6 years with elevated blood lead levels (BLL),70,36,681,"7,000",10.1,5.2,97.8,,,,,,,,
2007,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Children under 6 years with elevated blood lead levels (BLL),47,19,628,"7,000",6.7,2.7,89.9,,,,,,,,
2008,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Children under 6 years with elevated blood lead levels (BLL),44,7,405,"7,200",6.2,1.0,56.6,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2009,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Children under 6 years with elevated blood lead levels (BLL),24,12,291,"6,900",3.5,1.7,42.0,,,,,,,,
2010,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Children under 6 years with elevated blood lead levels (BLL),26,9,278,"6,900",3.7,1.3,40.0,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2011,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Children under 6 years with elevated blood lead levels (BLL),35,11,189,"7,000",5.0,1.6,27.1,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2012,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Children under 6 years with elevated blood lead levels (BLL),18,7,162,"6,900",2.6,1.0,23.4,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2013,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Children under 6 years with elevated blood lead levels (BLL),15,5,137,"6,800",2.2,0.7,20.3,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2014,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Children under 6 years with elevated blood lead levels (BLL),18,4,136,"6,700",2.7,0.6,20.2,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2015,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Children under 6 years with elevated blood lead levels (BLL),16,6,115,"6,800",2.4,0.9,16.9,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2016,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Children under 6 years with elevated blood lead levels (BLL),11,4,91,"6,500",1.7,0.6,13.9,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2017,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Children under 6 years with elevated blood lead levels (BLL),14,6,82,"6,700",2.1,0.9,12.3,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2018,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Children under 6 years with elevated blood lead levels (BLL),15,7,68,"6,500",2.3,1.1,10.4,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2019,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Children under 6 years with elevated blood lead levels (BLL),11,3,57,"6,700",1.6,0.4,8.5,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2005,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Children under 6 years with elevated blood lead levels (BLL),5,1,94,800,5.9,1.2,111.5,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2006,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Children under 6 years with elevated blood lead levels (BLL),5,1,66,800,6.1,1.2,80.5,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2007,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Children under 6 years with elevated blood lead levels (BLL),1,0,82,"1,000",1.0,0.0,79.2,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2008,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Children under 6 years with elevated blood lead levels (BLL),2,2,42,"1,000",1.9,1.9,40.9,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2009,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Children under 6 years with elevated blood lead levels (BLL),1,0,32,"1,100",0.9,0.0,27.9,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2010,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Children under 6 years with elevated blood lead levels (BLL),3,2,40,"1,600",1.9,1.3,25.2,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2011,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Children under 6 years with elevated blood lead levels (BLL),1,1,20,"1,600",0.6,0.6,12.3,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2012,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Children under 6 years with elevated blood lead levels (BLL),1,0,17,"1,600",0.6,0.0,10.6,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2013,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Children under 6 years with elevated blood lead levels (BLL),3,2,11,"1,600",1.9,1.2,6.9,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
2014,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Children under 6 years with elevated blood lead levels (BLL),3,1,9,"1,400",2.2,0.7,6.5,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
2015,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Children under 6 years with elevated blood lead levels (BLL),0,0,8,"1,500",0.0,0.0,5.2,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
2016,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Children under 6 years with elevated blood lead levels (BLL),1,1,5,"1,600",0.6,0.6,3.1,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
2017,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Children under 6 years with elevated blood lead levels (BLL),1,0,5,"1,500",0.7,0.0,3.3,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
2018,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Children under 6 years with elevated blood lead levels (BLL),1,1,2,"1,400",0.7,0.7,1.4,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
2019,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Children under 6 years with elevated blood lead levels (BLL),0,0,1,"1,600",0.0,0.0,0.6,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
2005,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Children under 6 years with elevated blood lead levels (BLL),51,17,826,"6,800",7.5,2.5,121.6,,,,,,,,
2006,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Children under 6 years with elevated blood lead levels (BLL),39,19,714,"6,900",5.7,2.8,103.5,,,,,,,,
2007,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Children under 6 years with elevated blood lead levels (BLL),48,19,632,"7,100",6.8,2.7,89.5,,,,,,,,
2008,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Children under 6 years with elevated blood lead levels (BLL),33,14,420,"7,300",4.5,1.9,57.3,,,,,,,,
2009,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Children under 6 years with elevated blood lead levels (BLL),27,12,274,"7,500",3.6,1.6,36.5,,,,,,,,
2010,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Children under 6 years with elevated blood lead levels (BLL),31,14,255,"7,300",4.2,1.9,34.7,,,,,,,,
2011,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Children under 6 years with elevated blood lead levels (BLL),24,12,186,"7,100",3.4,1.7,26.4,,,,,,,,
2012,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Children under 6 years with elevated blood lead levels (BLL),23,12,130,"6,600",3.5,1.8,19.7,,,,,,,,
2013,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Children under 6 years with elevated blood lead levels (BLL),21,8,121,"6,500",3.2,1.2,18.6,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2014,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Children under 6 years with elevated blood lead levels (BLL),21,9,115,"6,200",3.4,1.5,18.6,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2015,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Children under 6 years with elevated blood lead levels (BLL),17,6,96,"5,900",2.9,1.0,16.2,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2016,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Children under 6 years with elevated blood lead levels (BLL),18,11,83,"5,800",3.1,1.9,14.3,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2017,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Children under 6 years with elevated blood lead levels (BLL),17,5,69,"5,700",3.0,0.9,12.1,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2018,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Children under 6 years with elevated blood lead levels (BLL),14,8,70,"5,700",2.5,1.4,12.4,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2019,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Children under 6 years with elevated blood lead levels (BLL),17,8,52,"5,500",3.1,1.5,9.5,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2005,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Children under 6 years with elevated blood lead levels (BLL),86,24,"1,314","11,600",7.4,2.1,113.2,,,,,,,,
2006,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Children under 6 years with elevated blood lead levels (BLL),62,16,"1,251","11,600",5.4,1.4,108.2,,,,,,,,
2007,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Children under 6 years with elevated blood lead levels (BLL),73,25,992,"11,700",6.2,2.1,84.6,,,,,,,,
2008,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Children under 6 years with elevated blood lead levels (BLL),45,11,666,"12,100",3.7,0.9,54.9,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2009,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Children under 6 years with elevated blood lead levels (BLL),34,11,457,"12,200",2.8,0.9,37.4,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2010,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Children under 6 years with elevated blood lead levels (BLL),53,17,405,"12,300",4.3,1.4,32.8,,,,,,,,
2011,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Children under 6 years with elevated blood lead levels (BLL),43,9,343,"12,400",3.5,0.7,27.6,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2012,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Children under 6 years with elevated blood lead levels (BLL),24,11,193,"12,000",2.0,0.9,16.1,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2013,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Children under 6 years with elevated blood lead levels (BLL),31,11,201,"11,700",2.6,0.9,17.2,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2014,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Children under 6 years with elevated blood lead levels (BLL),32,14,200,"11,200",2.9,1.2,17.8,,,,,,,,
2015,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Children under 6 years with elevated blood lead levels (BLL),38,15,212,"11,500",3.3,1.3,18.5,,,,,,,,
2016,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Children under 6 years with elevated blood lead levels (BLL),26,7,188,"11,100",2.3,0.6,16.9,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2017,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Children under 6 years with elevated blood lead levels (BLL),24,8,132,"11,100",2.2,0.7,11.9,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2018,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Children under 6 years with elevated blood lead levels (BLL),19,9,121,"11,100",1.7,0.8,10.9,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2019,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Children under 6 years with elevated blood lead levels (BLL),25,6,119,"11,300",2.2,0.5,10.6,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2005,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Children under 6 years with elevated blood lead levels (BLL),44,12,293,"2,800",16.0,4.4,106.5,,,,,,,,
2006,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Children under 6 years with elevated blood lead levels (BLL),34,11,293,"3,300",10.4,3.4,89.3,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2007,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Children under 6 years with elevated blood lead levels (BLL),33,17,337,"3,400",9.7,5.0,99.5,,,,,,,,
2008,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Children under 6 years with elevated blood lead levels (BLL),31,11,218,"3,300",9.5,3.4,66.6,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2009,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Children under 6 years with elevated blood lead levels (BLL),25,11,164,"3,400",7.3,3.2,47.6,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2010,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Children under 6 years with elevated blood lead levels (BLL),20,6,146,"3,600",5.6,1.7,40.8,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2011,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Children under 6 years with elevated blood lead levels (BLL),20,5,112,"3,500",5.6,1.4,31.6,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2012,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Children under 6 years with elevated blood lead levels (BLL),17,2,98,"3,400",5.1,0.6,29.2,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2013,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Children under 6 years with elevated blood lead levels (BLL),12,4,105,"3,300",3.7,1.2,32.1,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2014,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Children under 6 years with elevated blood lead levels (BLL),16,2,100,"3,000",5.3,0.7,33.0,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2015,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Children under 6 years with elevated blood lead levels (BLL),7,4,56,"2,900",2.4,1.4,19.3,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2016,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Children under 6 years with elevated blood lead levels (BLL),10,2,65,"2,900",3.5,0.7,22.6,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2017,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Children under 6 years with elevated blood lead levels (BLL),14,6,58,"2,800",4.9,2.1,20.4,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2018,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Children under 6 years with elevated blood lead levels (BLL),10,7,51,"2,700",3.7,2.6,19.0,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2019,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Children under 6 years with elevated blood lead levels (BLL),7,2,30,"2,700",2.6,0.8,11.3,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2005,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Children under 6 years with elevated blood lead levels (BLL),48,17,735,"7,800",6.2,2.2,94.8,,,,,,,,
2006,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Children under 6 years with elevated blood lead levels (BLL),41,13,647,"8,000",5.1,1.6,81.0,,,,,,,,
2007,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Children under 6 years with elevated blood lead levels (BLL),47,21,652,"8,100",5.8,2.6,80.4,,,,,,,,
2008,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Children under 6 years with elevated blood lead levels (BLL),42,11,474,"8,800",4.8,1.2,53.7,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2009,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Children under 6 years with elevated blood lead levels (BLL),47,16,369,"8,800",5.4,1.8,42.1,,,,,,,,
2010,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Children under 6 years with elevated blood lead levels (BLL),30,9,384,"9,400",3.2,1.0,40.8,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2011,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Children under 6 years with elevated blood lead levels (BLL),35,14,288,"9,700",3.6,1.4,29.6,,,,,,,,
2012,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Children under 6 years with elevated blood lead levels (BLL),28,9,193,"9,400",3.0,1.0,20.5,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2013,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Children under 6 years with elevated blood lead levels (BLL),17,4,154,"9,600",1.8,0.4,16.1,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2014,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Children under 6 years with elevated blood lead levels (BLL),23,6,167,"9,500",2.4,0.6,17.6,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2015,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Children under 6 years with elevated blood lead levels (BLL),21,9,147,"9,500",2.2,1.0,15.5,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2016,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Children under 6 years with elevated blood lead levels (BLL),21,8,126,"9,200",2.3,0.9,13.7,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2017,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Children under 6 years with elevated blood lead levels (BLL),19,9,104,"9,000",2.1,1.0,11.5,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
